127.0.0.1 - - [04/Dec/2021:16:26:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Dec/2021:16:26:31 +0900] "GET /WebMarket/Welcome.jsp HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [04/Dec/2021:16:26:31 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [04/Dec/2021:16:26:33 +0900] "GET /WebMarket/Products.jsp HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [04/Dec/2021:16:26:53 +0900] "GET /WebMarket/addProduct.jsp HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:26:57 +0900] "POST /WebMarket/j_security_check HTTP/1.1" 303 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:26:57 +0900] "GET /WebMarket/addProduct.jsp HTTP/1.1" 200 3114
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:26:57 +0900] "GET /WebMarket/resources/js/validation.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:28:56 +0900] "POST /WebMarket/processAddProduct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:28:56 +0900] "GET /WebMarket/Products.jsp HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:30:23 +0900] "GET /WebMarket/product.jsp?id=P2223 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:40:24 +0900] "GET /WebMarket/product.jsp?id=P2223 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:40:24 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:40:25 +0900] "GET /WebMarket/product.jsp?id=P2223 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:40:25 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:40:27 +0900] "GET /WebMarket/product.jsp?id=P2223 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:40:27 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:40:33 +0900] "GET /WebMarket/product.jsp?id=P2223 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:40:33 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:40:33 +0900] "GET /WebMarket/product.jsp?id=P2223 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:40:33 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:40:34 +0900] "GET /WebMarket/product.jsp?id=P2223 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:40:34 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:40:34 +0900] "GET /WebMarket/Products.jsp HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:40:36 +0900] "GET /WebMarket/product.jsp?id=P2223 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:41:46 +0900] "GET /WebMarket/Welcome.jsp HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:41:47 +0900] "GET /WebMarket/Products.jsp HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:41:49 +0900] "GET /WebMarket/product.jsp?id=P1111 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:44:13 +0900] "GET /WebMarket/Products.jsp HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:44:16 +0900] "GET /WebMarket/product.jsp?id=P1111 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:45:22 +0900] "GET /WebMarket/Products.jsp HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:45:25 +0900] "GET /WebMarket/addProduct.jsp HTTP/1.1" 200 3114
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:46:10 +0900] "POST /WebMarket/processAddProduct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:46:10 +0900] "GET /WebMarket/Products.jsp HTTP/1.1" 200 2211
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:46:20 +0900] "GET /WebMarket/product.jsp?id=P3333 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:47:04 +0900] "GET /WebMarket/product.jsp?id=P3333 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:47:04 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:47:04 +0900] "GET /WebMarket/product.jsp?id=P3333 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:47:04 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:47:05 +0900] "GET /WebMarket/product.jsp?id=P3333 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:47:05 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:47:05 +0900] "GET /WebMarket/product.jsp?id=P3333 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:47:05 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:47:06 +0900] "GET /WebMarket/product.jsp?id=P3333 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:16:47:06 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
